Specie	Genome Length	Total genes	Summary genes length	Genes coverage, %	Total Z-dna number	Total Z-dna length	Total Z-dna filtered number	Total Z-dna filtered length	Total Z-dna merged number	Total Z-dna merged length	Z-dna in 5UTR, count	Z-dna in 5UTR, total length	Z-dna in 5UTR, average length	Z-dna in 5UTR, % length	Z-dna in 3UTR, count	Z-dna in 3UTR, total length	Z-dna in 3UTR, average length	Z-dna in 3UTR, % length	Z-dna in genes, count	Z-dna in genes, total length	Z-dna in genes, average length	Z-dna in genes, % length	Z-dna in NCR, count	Z-dna in NCR, total length	Z-dna in NCR, average length	Z-dna in NCR, % length
Candidatus Methanoplasma termitum (archaea)	1488669	2906	1349025	90.61954000519927	1488669	13696428	2121	21574	2121	21574	63.0	741.0	11.761904761904763	0.2549896765313145	52.0	606.0	11.653846153846153	0.20853406744666209	689.0	7899.0	11.4644412191582	0.00585533996775449	1398.0	12898.0	9.226037195994278	0.25429309359042607
Cuniculiplasma divulgatum (archaea)	1938699	3920	1701677	87.77417226707188	1938699	17248200	208	2082	208	2082	8.0	82.0	10.25	0.020918367346938777	8.0	88.0	11.0	0.022448979591836733	69.0	759.0	11.0	0.00044603059217466064	131.0	1158.0	8.83969465648855	0.012000497429945283
Ferroplasma acidarmanus fer1 (archaea)	1935211	3912	1698170	87.75115478363858	1935211	17277622	334	3386	334	3386	9.0	108.0	12.0	0.027607361963190184	10.0	113.0	11.3	0.028885480572597134	117.0	1323.0	11.307692307692308	0.0007790739443047516	206.0	1850.0	8.980582524271844	0.021200522564231855
Picrophilus torridus DSM 9790 (archaea)	1545895	3252	1426655	92.28666888760233	1545895	13734674	311	3114	311	3114	4.0	46.0	11.5	0.014145141451414513	6.0	69.0	11.5	0.02121771217712177	130.0	1443.0	11.1	0.001011456869390287	179.0	1530.0	8.547486033519553	0.03588853443422781
Thermoplasma acidophilum DSM 1728 (archaea)	1564906	3174	1380186	88.19609612334543	1564906	14347314	1531	15492	1531	15492	38.0	475.0	12.5	0.14965343415248897	42.0	483.0	11.5	0.15217391304347827	497.0	5650.0	11.368209255533198	0.004093651145570235	1008.0	9216.0	9.142857142857142	0.13385232092023472
